Country,Year,Actual,Predicted,AbsError
ARGENTINA,2015,5464.00,6313.00,849.00
ARGENTINA,2016,5215.00,6832.00,1617.00
ARGENTINA,2017,4931.00,7351.00,2420.00
ARGENTINA,2018,5742.00,7870.00,2128.00
ARGENTINA,2019,5397.00,8389.00,2992.00
BOLIVIA,2015,-10525.00,-10573.00,48.00
BOLIVIA,2016,-10071.00,-10175.00,104.00
BOLIVIA,2017,-9669.00,-9777.00,108.00
BOLIVIA,2018,-9344.00,-9379.00,35.00
BOLIVIA,2019,-8981.00,-8981.00,0.00
BRAZIL,2015,-173611.00,-134236.00,39375.00
BRAZIL,2016,-92989.00,-122740.00,29751.00
BRAZIL,2017,-156296.00,-111244.00,45052.00
BRAZIL,2018,-230334.00,-99748.00,130586.00
BRAZIL,2019,-129216.00,-88252.00,40964.00
CHILE,2015,55689.00,68875.00,13186.00
CHILE,2016,135864.00,85048.00,50816.00
CHILE,2017,220621.00,101221.00,119400.00
CHILE,2018,237807.00,117394.00,120413.00
CHILE,2019,181339.00,133567.00,47772.00
COLOMBIA,2015,-41123.00,-70255.00,29132.00
COLOMBIA,2016,104373.00,-72988.00,177361.00
COLOMBIA,2017,431072.00,-75721.00,506793.00
COLOMBIA,2018,495524.00,-78454.00,573978.00
COLOMBIA,2019,396826.00,-81187.00,478013.00
ECUADOR,2015,14724.00,10728.00,3996.00
ECUADOR,2016,35461.00,19183.00,16278.00
ECUADOR,2017,53707.00,27638.00,26069.00
ECUADOR,2018,95482.00,36093.00,59389.00
ECUADOR,2019,54921.00,44548.00,10373.00
GUYANA,2015,-6527.00,-6513.00,14.00
GUYANA,2016,-6309.00,-6316.00,7.00
GUYANA,2017,-6107.00,-6119.00,12.00
GUYANA,2018,30213.00,-5922.00,36135.00
GUYANA,2019,-20603.00,-5725.00,14878.00
PARAGUAY,2015,-16834.00,-16746.00,88.00
PARAGUAY,2016,-16737.00,-16503.00,234.00
PARAGUAY,2017,-16630.00,-16260.00,370.00
PARAGUAY,2018,-16472.00,-16017.00,455.00
PARAGUAY,2019,-16263.00,-15774.00,489.00
PERU,2015,2421.00,-5552.00,7973.00
PERU,2016,96740.00,39279.00,57461.00
PERU,2017,114382.00,84110.00,30272.00
PERU,2018,339067.00,128941.00,210126.00
PERU,2019,74270.00,173772.00,99502.00
SURINAME,2015,-967.00,-950.00,17.00
SURINAME,2016,-906.00,-941.00,35.00
SURINAME,2017,-935.00,-932.00,3.00
SURINAME,2018,-851.00,-923.00,72.00
SURINAME,2019,191.00,-914.00,1105.00
URUGUAY,2015,-4157.00,-4191.00,34.00
URUGUAY,2016,-3506.00,-3463.00,43.00
URUGUAY,2017,-3091.00,-2735.00,356.00
URUGUAY,2018,-2963.00,-2007.00,956.00
URUGUAY,2019,-2899.00,-1279.00,1620.00
VENEZUELA,2015,-62437.00,-60505.00,1932.00
VENEZUELA,2016,-77417.00,-63192.00,14225.00
VENEZUELA,2017,-283270.00,-65879.00,217391.00
VENEZUELA,2018,-817376.00,-68566.00,748810.00
VENEZUELA,2019,-1355602.00,-71253.00,1284349.00
